Learning Rate	Trainning Loss	Valid Loss	Train Acc	Valid Acc	
0.001000	0.048180	0.412631	98.436167	90.209790	
0.001000	0.046096	0.416419	98.493034	90.709291	
0.001000	0.041932	0.451074	98.692067	90.009990	
0.001000	0.040917	0.426153	98.720500	91.008991	
0.001000	0.036923	0.478716	98.663634	89.410590	
0.001000	0.042702	0.461490	98.620984	90.009990	
0.001000	0.040014	0.444010	98.663634	89.710290	
0.001000	0.038047	0.416346	98.606767	90.609391	
0.001000	0.037339	0.434384	98.834234	90.009990	
0.001000	0.037921	0.484620	98.706284	89.810190	
0.001000	0.037188	0.451791	98.734717	90.109890	
0.001000	0.038452	0.481371	98.734717	89.910090	
0.001000	0.037078	0.484523	98.791584	89.710290	
0.001000	0.035810	0.445540	98.805800	90.809191	
0.001000	0.042263	0.462146	98.578334	90.309690	
0.001000	0.034313	0.499311	98.834234	89.010989	
0.001000	0.041388	0.430147	98.493034	90.609391	
0.001000	0.040260	0.400489	98.635200	91.408592	
0.001000	0.033245	0.454755	98.791584	90.709291	
0.001000	0.036297	0.446994	98.677850	90.309690	
0.001000	0.030911	0.481327	98.947967	90.309691	
0.001000	0.033026	0.455782	98.962184	90.309690	
0.001000	0.033569	0.467806	98.848450	89.910090	
0.001000	0.035335	0.482988	98.834234	90.309690	
0.001000	0.036651	0.504018	98.820017	90.709291	
0.001000	0.034101	0.475080	98.905317	89.510490	
0.001000	0.032312	0.462559	98.820017	90.309690	
0.001000	0.031921	0.450920	98.933750	89.710290	
0.001000	0.033028	0.457331	98.805800	89.810190	
0.001000	0.032586	0.475101	98.905317	89.910090	
0.001000	0.033927	0.469246	98.891100	89.610390	
0.001000	0.033045	0.494849	98.834234	89.510490	
0.001000	0.033231	0.465912	98.933750	89.110889	
0.001000	0.034114	0.509147	98.748934	89.510490	
0.001000	0.034645	0.427685	98.805800	90.109890	
0.001000	0.034032	0.442402	98.692067	89.510490	
0.001000	0.032289	0.449610	98.848450	89.910090	
0.001000	0.026583	0.455945	99.047484	89.810190	
0.001000	0.031979	0.476327	98.976400	90.309690	
0.001000	0.035389	0.447072	98.777367	90.009990	
0.001000	0.031904	0.500488	98.933750	90.009990	
0.001000	0.032252	0.457736	98.834234	90.309690	
0.001000	0.029487	0.467364	98.947967	90.109890	
0.001000	0.031109	0.469920	98.976400	90.409591	
0.001000	0.032927	0.474787	98.933750	89.310689	
0.001000	0.034113	0.522526	98.805800	88.911089	
0.001000	0.036433	0.460268	98.820017	90.209790	
0.001000	0.030495	0.479797	98.947967	90.109890	
0.001000	0.032128	0.474169	98.876884	90.509490	
0.001000	0.035911	0.429373	98.805800	90.209790	
0.001000	0.028339	0.461364	99.075917	89.510489	
0.001000	0.034399	0.460664	98.933750	89.610390	
0.001000	0.024852	0.446441	99.132784	90.309690	
0.001000	0.028760	0.424994	99.118567	90.109890	
0.001000	0.026723	0.437939	99.132784	90.309690	
0.001000	0.034461	0.456747	98.848450	90.209790	
0.001000	0.036019	0.452745	98.734717	90.209790	
0.001000	0.031402	0.470985	98.848450	90.309690	
0.001000	0.025877	0.405574	99.075917	91.008991	
0.001000	0.035157	0.419687	98.876884	90.409590	
0.001000	0.035075	0.436767	98.805800	90.409590	
0.001000	0.033949	0.506460	98.820017	89.610390	
0.001000	0.030787	0.507761	98.933750	89.710290	
0.001000	0.031130	0.469742	98.976400	89.910090	
0.001000	0.034193	0.470905	98.919534	89.710290	
0.001000	0.033725	0.514580	99.004834	89.710290	
0.001000	0.036130	0.464712	98.706284	90.609391	
0.001000	0.031602	0.480163	99.090134	90.609391	
0.001000	0.030780	0.461327	98.947967	90.409590	
0.001000	0.026090	0.479241	99.132784	90.309690	
0.001000	0.029095	0.508712	99.075917	90.109890	
0.001000	0.030740	0.508153	98.876884	89.410589	
0.001000	0.031593	0.439470	98.848450	90.209790	
0.001000	0.028134	0.490793	98.990617	89.710290	
0.001000	0.029557	0.468338	98.947967	89.410589	
0.001000	0.034004	0.480200	98.848450	89.910090	
0.001000	0.030621	0.445436	99.019050	90.009990	
0.001000	0.028173	0.487880	99.132784	90.209790	
0.001000	0.033564	0.474909	98.976400	90.409591	
0.001000	0.029292	0.456464	99.047484	90.209790	
0.001000	0.030976	0.461573	98.976400	90.209790	
0.001000	0.027631	0.527720	99.175434	90.009990	
0.001000	0.035147	0.500267	98.777367	90.609391	
0.001000	0.029048	0.476393	99.104350	90.109890	
0.001000	0.027613	0.470809	99.075917	90.409591	
0.001000	0.029356	0.473135	99.047484	90.909091	
0.001000	0.029038	0.479605	99.033267	90.309690	
