Learning Rate	Trainning Loss	Valid Loss	Train Acc	Valid Acc	
0.001000	1.234169	0.768526	69.886858	78.273521	
0.001000	0.726919	0.557179	80.261097	84.966052	
0.001000	0.597258	0.465675	83.237598	87.099903	
0.001000	0.530162	0.435728	84.786771	87.972842	
0.001000	0.462774	0.403766	85.900783	87.972842	
0.001000	0.411364	0.389278	87.519582	89.718720	
0.001000	0.370463	0.372671	89.086162	89.621726	
0.001000	0.336066	0.371786	89.869452	90.203686	
0.001000	0.321950	0.375263	90.478677	90.591659	
0.001000	0.294593	0.380851	91.087903	90.688652	
0.001000	0.278540	0.366372	91.749347	90.785645	
0.001000	0.280925	0.376833	91.679721	90.397672	
0.001000	0.255729	0.365567	92.428198	90.591659	
0.001000	0.222815	0.420640	93.385553	89.136760	
0.001000	0.219076	0.397877	93.263708	91.561591	
0.001000	0.208662	0.394958	93.664056	90.106693	
0.001000	0.187606	0.395907	94.464752	90.494665	
0.001000	0.189615	0.409998	94.342907	90.494665	
0.001000	0.170895	0.408924	94.882507	90.397672	
0.001000	0.168614	0.409941	95.282855	90.979631	
0.001000	0.161387	0.394138	95.630983	91.949564	
0.001000	0.168681	0.405497	94.638816	91.270611	
0.001000	0.163361	0.393768	95.439513	91.658584	
0.001000	0.144828	0.395219	95.683203	91.658584	
0.001000	0.146865	0.390221	95.648390	92.434530	
0.001000	0.166297	0.398759	94.795474	91.076625	
0.001000	0.160106	0.380728	95.178416	92.434530	
0.001000	0.136552	0.390597	96.100957	91.852570	
0.001000	0.132511	0.403466	96.170583	91.561591	
0.001000	0.126566	0.410498	96.205396	91.270611	
0.001000	0.118255	0.405632	96.344648	91.270611	
0.001000	0.130282	0.419464	96.257615	91.270611	
0.001000	0.110087	0.429884	96.779809	91.270611	
0.001000	0.116372	0.432586	96.797215	90.979631	
0.001000	0.121628	0.425102	96.536118	90.979631	
0.001000	0.117898	0.441366	96.570931	91.755577	
0.001000	0.117197	0.426872	96.431680	91.270611	
0.001000	0.117420	0.435230	96.640557	91.367604	
0.001000	0.113782	0.435649	96.309835	91.561591	
0.001000	0.094709	0.427377	97.319408	91.173618	
0.001000	0.097453	0.439133	97.232376	91.367604	
0.001000	0.101225	0.452484	97.075718	91.367604	
