Best Acc	Trainning Loss	Valid Loss	Train Acc	Valid Acc	
0.000000	1.076006	0.774731	72.107436	79.068651	
79.068651	0.679019	0.687406	81.050765	80.556889	
80.556889	0.577771	0.630776	83.633410	82.669227	
82.669227	0.511803	0.636811	85.035417	83.149304	
83.149304	0.455901	0.681408	86.644035	82.549208	
83.149304	0.419878	0.590924	88.164106	84.685550	
84.685550	0.370232	0.643418	88.946279	84.613538	
84.685550	0.365489	0.643725	89.034827	84.661546	
84.685550	0.338929	0.668867	89.949821	84.685550	
84.685550	0.325453	0.641013	90.215464	84.517523	
84.685550	0.302428	0.620522	90.923847	84.469515	
84.685550	0.290233	0.715802	91.278038	83.653385	
84.685550	0.281092	0.766631	91.469892	83.725396	
84.685550	0.272576	0.682279	91.632229	84.973596	
84.973596	0.262746	0.677647	92.015937	84.949592	
84.973596	0.237788	0.715569	92.561982	84.445511	
84.973596	0.243016	0.706239	92.488192	84.973596	
84.973596	0.208116	0.740163	93.668830	84.277484	
84.973596	0.219307	0.749085	93.447460	84.973596	
84.973596	0.211884	0.789332	93.506492	83.485358	
84.973596	0.206909	0.861001	93.845925	82.693231	
84.973596	0.212843	0.791709	93.388428	83.221315	
84.973596	0.189392	0.726093	94.200116	84.589534	
84.973596	0.184893	0.798026	94.288664	83.797408	
84.973596	0.192935	0.776318	93.786893	84.205473	
84.973596	0.181959	0.833997	94.347696	82.981277	
84.973596	0.186586	0.830370	94.082053	84.421507	
84.973596	0.168865	0.828051	94.849467	84.277484	
84.973596	0.167465	0.721288	94.967531	85.549688	
85.549688	0.166114	0.801336	94.938015	85.261642	
85.549688	0.167606	0.789757	95.115111	84.853577	
85.549688	0.159532	0.812100	95.011805	84.541527	
85.549688	0.152362	0.803162	95.528334	84.613538	
85.549688	0.150702	0.797250	95.365996	84.469515	
85.549688	0.153411	0.798361	95.572608	84.541527	
85.549688	0.141668	0.788374	95.853009	84.853577	
85.549688	0.141392	0.799715	95.793978	83.749400	
85.549688	0.153404	0.841184	95.085595	83.413346	
85.549688	0.137181	0.856746	95.764462	84.133461	
85.549688	0.160889	0.973230	95.233175	83.389342	
85.549688	0.133702	0.899851	95.823494	84.061450	
85.549688	0.140229	0.800894	96.059621	84.901584	
85.549688	0.136525	0.847850	95.882525	84.349496	
85.549688	0.130380	0.774112	96.162927	84.013442	
85.549688	0.133629	0.922188	96.059621	84.997600	
85.549688	0.131012	0.919042	96.000589	83.053289	
85.549688	0.129764	0.886099	96.059621	84.013442	
85.549688	0.130383	0.905418	95.985831	84.253481	
85.549688	0.136160	0.920664	95.912041	84.877580	
85.549688	0.120682	0.893886	96.708972	84.685550	
85.549688	0.121465	0.884243	96.384296	84.445511	
85.549688	0.135212	0.937473	96.059621	84.013442	
85.549688	0.119878	0.870562	96.620424	84.565530	
85.549688	0.113189	0.918198	96.531876	84.421507	
85.549688	0.129926	0.836577	96.251475	85.357657	
85.549688	0.127633	0.871793	95.956315	83.989438	
85.549688	0.121018	0.889980	96.517118	84.493519	
85.549688	0.119494	0.942309	96.517118	84.301488	
85.549688	0.113438	0.970951	96.502360	85.045607	
85.549688	0.101956	0.937001	96.856552	84.373500	
85.549688	0.103351	0.907049	96.841794	84.469515	
85.549688	0.116751	0.927811	96.576150	84.325492	
85.549688	0.114026	0.843421	96.561392	84.853577	
85.549688	0.109339	0.890371	96.723730	84.733557	
85.549688	0.108403	0.856232	96.753246	85.405665	
85.549688	0.101775	0.843071	96.782762	85.573692	
85.573692	0.108439	0.975519	96.782762	85.405665	
85.573692	0.098096	0.857670	96.974615	85.861738	
85.861738	0.108855	0.933054	96.723730	84.637542	
85.861738	0.099786	0.876957	97.048405	85.621699	
85.861738	0.101053	0.919004	97.077921	84.973596	
85.861738	0.121060	0.906632	96.325265	84.421507	
85.861738	0.099334	0.992334	97.063163	84.397504	
85.861738	0.110545	0.882864	96.708972	85.069611	
85.861738	0.103952	0.906388	96.989373	85.213634	
85.861738	0.093135	0.980842	97.269775	84.445511	
85.861738	0.085578	0.920468	97.328807	84.805569	
85.861738	0.104064	0.839011	96.856552	85.861738	
85.861738	0.094357	0.896068	97.122195	85.525684	
85.861738	0.094353	0.906449	97.328807	85.381661	
85.861738	0.097382	0.913768	96.886068	84.709554	
85.861738	0.091780	0.880678	97.166469	85.285646	
85.861738	0.086368	0.892175	97.314049	85.069611	
85.861738	0.088330	0.938001	97.299291	85.597696	
85.861738	0.084886	1.080231	97.358323	83.749400	
85.861738	0.090505	0.974758	97.446871	84.517523	
85.861738	0.095769	0.979014	97.284533	85.045607	
85.861738	0.091231	0.971810	97.358323	84.493519	
85.861738	0.086830	1.045193	97.535418	84.997600	
85.861738	0.093659	1.027224	97.166469	83.797408	
85.861738	0.099771	1.004685	96.989373	84.925588	
85.861738	0.084235	1.017914	97.579692	83.797408	
85.861738	0.088945	0.928870	97.550176	85.285646	
85.861738	0.098400	0.981134	97.269775	84.949592	
85.861738	0.084236	0.938991	97.461629	84.709554	
85.861738	0.091871	0.902107	97.328807	84.733557	
85.861738	0.076772	0.968348	97.697756	84.661546	
85.861738	0.089623	0.955289	97.373081	85.093615	
85.861738	0.083818	0.981313	97.461629	84.133461	
85.861738	0.084676	1.002668	97.609208	84.685550	
85.861738	0.077331	1.024413	97.564934	85.357657	
85.861738	0.083335	0.899702	97.432113	85.405665	
85.861738	0.085868	0.948707	97.417355	84.109458	
85.861738	0.082963	0.997206	97.609208	84.037446	
85.861738	0.082558	1.062428	97.623966	84.733557	
85.861738	0.081785	1.126659	97.653482	84.349496	
